street_number,actual_street_name,Suburb,lprice_diff,lrents_diff,lgroundrents_diff,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914
8,MARKET STREET,POPLAR,0.287682073,,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BODDY'S BRIDGE,BLACKFRIARS,-0.161268148,,,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,FOREST ROAD,DALSTON,0.186585956,0.068992872,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10a,BRUNSWICK ROAD,TOTTENHAM,0.149035579,0.241162057,,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PARK ROAD,DULWICH,0.405465108,,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,NEW CHURCH ROAD,CAMBERWELL,0.246860078,,,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,VICTORIA GROVE,STOKE NEWINGTON,0.191055237,,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,PYRLAND ROAD,CANONBURY,0.113328685,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,ARDLEIGH ROAD,DE BEAUVOIR TOWN,0.146603474,,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,WHARTON STREET,PENTONVILLE,0.310154928,,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,MANN STREET,WALWORTH,0.097980408,,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,SUNDERLAND ROAD,FOREST HILL,-0.104013455,,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,FERNSHAW ROAD,CHELSEA,0.405465108,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,FOREST ROAD,FOREST GATE,-0.015267472,0,,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,EVERILDA STREET,BARNSBURY,-0.262364264,-0.152468594,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,HOMEFIELD ROAD,CHISWICK,0.243622083,-0.200670695,0.251314428,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,BLOMFIELD STREET,PADDINGTON,0.072320662,,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
